frequency,s11_real,s11_imag,s12_real,s12_imag,s13_real,s13_imag,s14_real,s14_imag,s21_real,s21_imag,s22_real,s22_imag,s23_real,s23_imag,s24_real,s24_imag,s31_real,s31_imag,s32_real,s32_imag,s33_real,s33_imag,s34_real,s34_imag,s41_real,s41_imag,s42_real,s42_imag,s43_real,s43_imag,s44_real,s44_imag
30,-0.6630960928730701,0.42401634786244147,0.273631232644738,0.16763064076795317,-0.27027920155798685,-0.1604846030466612,-0.2545533546217607,-0.11820600152406247,0.27363123264467215,0.1676306407679366,-0.6631599150630552,0.42411245504003114,-0.25450662077151176,-0.1180727086478062,-0.2703005976337609,-0.1604086779951538,-0.2702792015579683,-0.16048460304674733,-0.2545066207714966,-0.11807270864789154,-0.6259693523022077,0.43371360448619123,0.2891828831936183,0.17239869503005284,-0.2545533546217398,-0.11820600152416759,-0.270300597633743,-0.16040867799525654,0.2891828831935792,0.17239869503006602,-0.6259897984017508,0.433781475833685
31,-0.650117027399978,0.4285021907753273,0.28407253296817153,0.16402903709250388,-0.280913152095345,-0.1564687689380705,-0.26437005498146987,-0.11291493674491951,0.28407253296811125,0.16402903709249947,-0.6501822847155252,0.42860668103569216,-0.26431771916452246,-0.11277827656516397,-0.2809331542708426,-0.15639226162741782,-0.2809131520953389,-0.15646876893814676,-0.26431771916451796,-0.11277827656523909,-0.611996832541926,0.43791382826076297,0.3004770653426521,0.16843179107445383,-0.26437005498146293,-0.11291493674501198,-0.28093315427083737,-0.15639226162750874,0.30047706534261986,0.16843179107447243,-0.6120143347054493,0.43798598680634115
32,-0.637292508965444,0.4324552115887419,0.2942860937114205,0.15991455333343094,-0.29131600833840154,-0.15192614493754988,-0.27393104353157816,-0.10710473476971154,0.2942860937113667,0.1599145533334332,-0.6373587747190744,0.4325681172784247,-0.27387291409081566,-0.10696494624468247,-0.29133489849619615,-0.1518491397710494,-0.2913160083384045,-0.1519261449376155,-0.2738729140908191,-0.10696494624474631,-0.5981742184762285,0.44153974008620317,0.31154561088992866,0.16390788648784993,-0.27393104353158304,-0.10710473476979272,-0.2913348984962021,-0.15184913977112793,0.31154561088990307,0.16390788648786853,-0.5981883832468003,0.4416160746606053
33,-0.6246454400766497,0.43589511979235307,0.304248824778917,0.15530773876001047,-0.30146404199543286,-0.1468773725967779,-0.283212497612166,-0.10079629779187875,0.3042488247788713,0.1553077387600166,-0.6247123197141443,0.43601644043544285,-0.2831484007541223,-0.1006536317557312,-0.3014821008335794,-0.14679990731389614,-0.3014640419954418,-0.1468773725968321,-0.28314840075413145,-0.10065363175578587,-0.5845258196681691,0.4446109913869296,0.32236377224887586,0.1588475659620277,-0.2832124976121781,-0.10079629779194581,-0.3014821008335916,-0.14679990731396236,0.32236377224885526,0.15884756596204758,-0.5845362597504273,0.44469134805644317
34,-0.612197005234072,0.43884246614858025,0.3139393965348066,0.15022996502358044,-0.31133528946819844,-0.1413439476729496,-0.29219236347819694,-0.0940113841437977,0.3139393965347675,0.15022996502358912,-0.6122641355547663,0.43897217643761394,-0.29212214427750777,-0.09386610088239128,-0.31135279045429054,-0.1412660167684504,-0.3113352894682115,-0.14134394767299419,-0.29212214427752015,-0.0938661008824351,-0.5710742202057013,0.44714811934523574,0.33290858481620805,0.15327226916764985,-0.29219236347821387,-0.09401138414385286,-0.3113527904543065,-0.14126601676850437,0.33290858481619406,0.15327226916766828,-0.571080560548535,0.4472323034857126
35,-0.5999666700648438,0.4413184961750218,0.32333823444238824,0.14470328152951045,-0.3209095506494324,-0.13534807554795292,-0.3008503543817685,-0.08677246434167467,0.32333823444235804,0.1447032815295224,-0.6000337174333452,0.441456552659091,-0.30077387733447947,-0.0866248311108176,-0.320926754970332,-0.13526963412240206,-0.32090955064944626,-0.13534807554798767,-0.30077387733449445,-0.08662483111085298,-0.5578402757379373,0.4491723996161517,0.34315886024228437,0.14720414748382576,-0.3008503543817879,-0.0867724643417193,-0.32092675497035184,-0.1352696341224464,0.34315886024227243,0.14720414748384467,-0.5578421587632065,0.4492601788678042
36,-0.5879721922444099,0.44334501093424905,0.3324275029756503,0.13875027804517986,-0.33016837655009734,-0.12891253301982994,-0.3091679377061441,-0.07910258340761094,0.3324275029756243,0.1387502780451917,-0.5880388501471705,0.4434913574521977,-0.30908508685423647,-0.07895287198495164,-0.33018552899284365,-0.12883350089521844,-0.33016837655011266,-0.12891253301985683,-0.309085086854252,-0.07895287198497833,-0.5448431225000858,0.4507057062248574,0.3530951695556911,0.14066592766755615,-0.30916793770616363,-0.07910258340764502,-0.33018552899286324,-0.12883350089525186,0.3530951695556838,0.14066592766757174,-0.5448402124240924,0.45079681406800576
37,-0.5762296427490134,0.4449442355514917,0.34119108007595267,0.13239395493969475,-0.33909504695639925,-0.12206053707773244,-0.3171283122963636,-0.0710252300796689,0.3411910800759327,0.1323939549397071,-0.576295628985205,0.4450988075045784,-0.3170389909617102,-0.07087371442758927,-0.33911237264703087,-0.12198080304151106,-0.33909504695641307,-0.1220605370777521,-0.3170389909617246,-0.0708737144276089,-0.5321001968489737,0.4517703790934069,0.362699817276857,0.1336807828545517,-0.31712831229638244,-0.07102523007969475,-0.33911237264704985,-0.12198080304153645,0.3626998172768522,0.13368078285456308,-0.532092183096697,0.451864518814295
38,-0.5647534360885038,0.4461386957464935,0.3496145233549896,0.12565760132702986,-0.34767453928822556,-0.11481562111957176,-0.3247163771137627,-0.06256421337393946,0.349614523354976,0.12565760132704096,-0.5648184898243537,0.44630142333394657,-0.3246205072908103,-0.062411167475634965,-0.3476922412107572,-0.11473504718602372,-0.3476745392882374,-0.11481562111958545,-0.3246205072908224,-0.0624111674756494,-0.5196272639421802,0.452389099503698,0.37195680760593774,0.12627221117259932,-0.3247163771137797,-0.06256421337395773,-0.3476922412107734,-0.1147350471860416,0.37195680760593464,0.12627221117260976,-0.5196138636940201,0.4524859483527196
39,-0.5535563682684722,0.446951102548271,0.3576850291731302,0.1185646812735897,-0.3558934897909603,-0.10720151893330515,-0.33191869231097787,-0.053743546827432306,0.35768502917311984,0.11856468127359912,-0.5536202471295427,0.44712191310444604,-0.33181621377441683,-0.05358924274298604,-0.35591174700716316,-0.10711994453307974,-0.35589348979097124,-0.10720151893331462,-0.33181621377442916,-0.053589242742996146,-0.507438454296518,0.45258477368297445,0.3808518037184201,0.11846392214783391,-0.33191869231099236,-0.053743546827444366,-0.3559117470071779,-0.1071199445330917,0.38085180371841876,0.11846392214784299,-0.5074194142350726,0.45268398706190716
